Timestamp,Color Counts,Average Areas
2025-03-25 11:01:21.621624,"{'Blue': 3, 'Black': 4}","{'Blue': 42847.0, 'Black': 11221.75}"
2025-03-25 11:01:21.637503,"{'Blue': 3, 'Black': 4}","{'Blue': 42847.0, 'Black': 11221.75}"
2025-03-25 11:01:21.653788,"{'Blue': 3, 'Black': 4}","{'Blue': 43362.17, 'Black': 11460.5}"
2025-03-25 11:01:21.668775,"{'Blue': 3, 'Black': 4}","{'Blue': 43362.17, 'Black': 11460.5}"
2025-03-25 11:01:21.684201,"{'Blue': 3, 'Black': 4}","{'Blue': 43362.17, 'Black': 11460.5}"
2025-03-25 11:01:21.698904,"{'Blue': 2, 'Black': 5}","{'Blue': 65527.25, 'Black': 9256.2}"
2025-03-25 11:01:21.714892,"{'Blue': 2, 'Black': 5}","{'Blue': 65527.25, 'Black': 9256.2}"
2025-03-25 11:01:21.729646,"{'Blue': 2, 'Black': 5}","{'Blue': 65527.25, 'Black': 9256.2}"
2025-03-25 11:01:21.744379,"{'Blue': 3, 'Black': 5}","{'Blue': 43706.33, 'Black': 9241.6}"
2025-03-25 11:01:21.760092,"{'Blue': 3, 'Black': 5}","{'Blue': 43706.33, 'Black': 9241.6}"
2025-03-25 11:01:21.777096,"{'Blue': 3, 'Black': 5}","{'Blue': 43706.33, 'Black': 9241.6}"
2025-03-25 11:01:21.792850,"{'Blue': 3, 'Black': 5}","{'Blue': 44034.83, 'Black': 9089.6}"
